country,year,category,share,value,pair_side
Nicaragua,2018,screens_and_monitors,0.06,2.4,y
Nicaragua,2018,large_equipment,0.09,3.2,x
Nicaragua,2018,lamps,0.06,2.4,y
Nicaragua,2018,large_equipment,0.09,3.2,x
Nicaragua,2018,large_equipment,0.1,2.4,y
Nicaragua,2018,large_equipment,0.09,3.2,x
Nicaragua,2018,small_equipment,0.38,2.4,y
Nicaragua,2018,large_equipment,0.09,3.2,x
Nicaragua,2018,small_it,0.1,2.4,y
Nicaragua,2018,small_equipment,0.38,3.2,x
Nicaragua,2018,temperature_exchange_equipment,0.31,2.4,y
Nicaragua,2018,small_equipment,0.38,3.2,x
Nicaragua,2018,screens_and_monitors,0.06,2.4,y
Nicaragua,2018,small_equipment,0.38,3.2,x
Nicaragua,2018,lamps,0.06,2.4,y
Nicaragua,2018,small_equipment,0.38,3.2,x
Nicaragua,2018,large_equipment,0.1,2.4,y
Nicaragua,2018,small_equipment,0.38,3.2,x
Nicaragua,2018,small_equipment,0.38,2.4,y
Nicaragua,2018,small_equipment,0.38,3.2,x
Nicaragua,2018,small_it,0.1,2.4,y
Nicaragua,2018,small_it,0.11,3.2,x
Nicaragua,2018,temperature_exchange_equipment,0.31,2.4,y
Nicaragua,2018,small_it,0.11,3.2,x
Nicaragua,2018,screens_and_monitors,0.06,2.4,y
Nicaragua,2018,small_it,0.11,3.2,x
Nicaragua,2018,lamps,0.06,2.4,y
Nicaragua,2018,small_it,0.11,3.2,x
Nicaragua,2018,large_equipment,0.1,2.4,y
Nicaragua,2018,small_it,0.11,3.2,x
Nicaragua,2018,small_equipment,0.38,2.4,y
Nicaragua,2018,small_it,0.11,3.2,x
Nicaragua,2018,small_it,0.1,2.4,y
Panama,2018,temperature_exchange_equipment,0.24,14.8,x
Panama,2018,temperature_exchange_equipment,0.24,8.5,y
Panama,2018,temperature_exchange_equipment,0.24,14.8,x
Panama,2018,screens_and_monitors,0.06,8.5,y
Panama,2018,temperature_exchange_equipment,0.24,14.8,x
